IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.189.143,2082,2082,false,SIN,Asia Pacific,Singapore,43,8.13
8.219.240.160,8443,8443,true,SIN,Asia Pacific,Singapore,81,8.13
47.237.82.15,8443,8443,true,SIN,Asia Pacific,Singapore,104,8.12
8.217.250.5,2095,2095,false,HKG,Asia Pacific,Hong Kong,51,8.12
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,91,8.11
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,74,8.11
8.222.179.231,2052,2052,false,SIN,Asia Pacific,Singapore,25,8.10
8.219.83.71,8443,8443,true,SIN,Asia Pacific,Singapore,87,8.10
8.219.170.232,80,80,false,SIN,Asia Pacific,Singapore,7,8.10
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,108,8.10
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,8.09
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,82,8.08
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,28,8.08
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,91,8.08
8.217.248.220,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,8.07
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,27,8.07
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,21,8.07
8.217.221.165,2086,2086,false,HKG,Asia Pacific,Hong Kong,48,8.06
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,45,8.05
8.219.120.87,8443,8443,true,SIN,Asia Pacific,Singapore,120,8.05
8.218.204.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,8.05
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,47,8.05
8.219.126.240,2082,2082,false,SIN,Asia Pacific,Singapore,6,8.04
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,17,8.04
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,8.04
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,9,8.04
47.243.234.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,33,8.03
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,10,8.03
8.219.222.98,8880,8880,false,SIN,Asia Pacific,Singapore,18,8.02
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,71,8.02
8.218.85.128,8880,8880,false,HKG,Asia Pacific,Hong Kong,59,8.00
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,24,7.99
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,64,7.99
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,61,7.99
47.76.159.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,7.98
8.219.1.92,8443,8443,true,SIN,Asia Pacific,Singapore,80,7.98
8.218.204.128,8880,8880,false,HKG,Asia Pacific,Hong Kong,33,7.98
47.236.169.164,8443,8443,true,SIN,Asia Pacific,Singapore,66,7.98
47.236.167.231,2087,2087,true,SIN,Asia Pacific,Singapore,54,7.97
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,7.97
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,48,7.97
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,49,7.97
47.236.93.176,8880,8880,false,SIN,Asia Pacific,Singapore,29,7.96
8.222.174.108,2052,2052,false,SIN,Asia Pacific,Singapore,15,7.96
8.219.11.158,2052,2052,false,SIN,Asia Pacific,Singapore,12,7.96
8.219.83.71,2083,2083,true,SIN,Asia Pacific,Singapore,53,7.95
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,68,7.95
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,73,7.95
47.236.165.25,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.95
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,11,7.94
8.219.222.98,80,80,false,SIN,Asia Pacific,Singapore,386,7.94
8.219.189.143,2096,2096,true,SIN,Asia Pacific,Singapore,56,7.94
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,7.94
8.219.202.130,2095,2095,false,SIN,Asia Pacific,Singapore,37,7.94
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,7.94
8.219.163.195,2095,2095,false,SIN,Asia Pacific,Singapore,52,7.93
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,5,7.93
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,77,7.93
8.218.243.95,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,7.93
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,4,7.92
8.217.149.28,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,7.92
47.236.146.249,2082,2082,false,SIN,Asia Pacific,Singapore,14,7.92
47.242.157.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,7.92
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,33,7.92
47.236.158.158,2082,2082,false,SIN,Asia Pacific,Singapore,21,7.91
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,9,7.91
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,7.90
